Estimated_Dollar_Loss,Number_of_responding_personnel,Possible_Cause,TFS_Arrival_Time,Latitude,Longitude
0,22,99 - Undetermined,2020-01-07T10:57:17,43.62247261,-79.54066968
5000,20,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2020-01-07T16:14:24,43.75915635,-79.26584658
2500,22,46 - Used or Placed too close to combustibles,2020-01-08T13:56:54,43.69327083,-79.445658
1500,27,47 - Improper handling of ignition source or ignited material,2020-01-08T21:51:03,43.65137938,-79.40699749
25000,24,"60 - Other unintentional cause, not classified",2020-01-09T03:28:38,43.76448592,-79.16744821
500,4,52 - Electrical Failure,2020-01-09T05:52:53,43.6920616,-79.5536522
80000,39,52 - Electrical Failure,2020-01-09T10:04:48,43.68684888,-79.51314736
0,21,50 - Other misuse of ignition source/material ignited,2020-01-09T11:25:13,43.75143939,-79.55298347
0,24,"98 - Unintentional, cause undetermined",2020-01-09T13:40:34,43.70837655,-79.35714176
500,25,52 - Electrical Failure,2020-01-09T15:13:31,43.64198894,-79.45191255
500,17,"60 - Other unintentional cause, not classified",2020-01-09T19:42:57,43.708654,-79.38887917
35000,4,52 - Electrical Failure,2020-01-09T21:16:37,43.71249086,-79.25989326
20000,8,12 - Vehicle Accident/Collision,2020-01-10T03:09:14,43.77130524,-79.25542829
100,23,52 - Electrical Failure,2020-01-10T13:25:21,43.74030327,-79.43580661
90000,22,52 - Electrical Failure,2020-01-10T22:59:06,43.71258702,-79.55407885
5000,35,20 - Design/Construction/Installation/Maintenance Deficiency,2020-01-11T00:21:03,43.6348928,-79.42580477
5000,22,99 - Undetermined,2020-01-11T00:29:30,43.69043934,-79.28668628
80000,4,20 - Design/Construction/Installation/Maintenance Deficiency,2020-01-11T17:55:02,43.73463936,-79.34527602
100,17,49 - Improper Storage,2020-01-11T18:12:03,43.63997407,-79.4309737
50000,23,52 - Electrical Failure,2020-01-11T18:35:08,43.7069166,-79.49068932
5000,21,"60 - Other unintentional cause, not classified",2020-01-11T21:23:16,43.66999867,-79.4839673
1,20,52 - Electrical Failure,2020-01-12T13:15:08,43.77643625,-79.23175684
10000,23,46 - Used or Placed too close to combustibles,2020-01-12T16:37:34,43.6724655,-79.3758926
30000,57,52 - Electrical Failure,2020-01-12T18:45:40,43.69314473,-79.29129854
3000,4,01 - Suspected Arson,2020-01-12T19:39:06,43.75814294,-79.26322701
25000,70,01 - Suspected Arson,2020-01-13T03:11:10,43.7821475,-79.3055835
30000,59,"60 - Other unintentional cause, not classified",2020-01-14T08:50:29,43.82321312,-79.22243323
5000,4,"98 - Unintentional, cause undetermined",2020-01-14T18:22:40,43.61230761,-79.56267721
50000,29,99 - Undetermined,2020-01-14T19:39:58,43.71349174,-79.54420962
20000,22,99 - Undetermined,2020-01-15T01:08:25,43.75432126,-79.48028688
50000,77,46 - Used or Placed too close to combustibles,2020-01-15T04:16:39,43.68688471,-79.33466889
0,29,51 - Mechanical Failure,2020-01-15T13:21:50,43.78163768,-79.41600169
11200,57,44 - Unattended,2020-01-15T14:21:12,43.76071394,-79.41074872
4000,4,99 - Undetermined,2020-01-15T15:46:57,43.73723673,-79.56530557
20000,4,51 - Mechanical Failure,2020-01-15T21:23:10,43.69159249,-79.57083826
50000,61,99 - Undetermined,2020-01-15T22:16:15,43.66516651,-79.34034534
0,18,03 - Suspected Vandalism,2020-01-15T23:49:12,43.65922588,-79.38519572
15000,4,99 - Undetermined,2020-01-16T07:06:39,43.79199334,-79.14186412
1000,21,45 - Improperly Discarded,2020-01-17T03:25:15,43.78047574,-79.41231597
1000,27,47 - Improper handling of ignition source or ignited material,2020-01-17T07:42:20,43.708654,-79.38887917
0,23,52 - Electrical Failure,2020-01-17T09:21:23,43.64965614,-79.33922708
69000,59,44 - Unattended,2020-01-17T18:06:45,43.68792283,-79.49202046
0,20,03 - Suspected Vandalism,2020-01-18T01:05:26,43.65628889,-79.38475444
0,22,01 - Suspected Arson,2020-01-18T01:48:14,43.69331048,-79.27896173
300,4,47 - Improper handling of ignition source or ignited material,2020-01-18T03:13:26,43.67952165,-79.30781953
10000,11,"98 - Unintentional, cause undetermined",2020-01-18T03:50:55,43.68301739,-79.57322788
0,24,45 - Improperly Discarded,2020-01-18T11:40:27,43.74323019,-79.24506118
20000,20,46 - Used or Placed too close to combustibles,2020-01-18T12:16:29,43.68502592,-79.39285423
30000,9,52 - Electrical Failure,2020-01-18T13:11:51,43.77296599,-79.27298631
5000,7,"98 - Unintentional, cause undetermined",2020-01-18T18:09:33,43.75784095,-79.22470931
15000,4,52 - Electrical Failure,2020-01-18T23:21:12,43.67676488,-79.42712925
1000,21,44 - Unattended,2020-01-19T00:13:29,43.67214769,-79.42989026
5000,20,"60 - Other unintentional cause, not classified",2020-01-19T07:07:09,43.71561312,-79.32808543
3000,4,99 - Undetermined,2020-01-19T09:56:17,43.75145885,-79.30349421
200,27,03 - Suspected Vandalism,2020-01-19T10:41:34,43.64101279,-79.41025017
500,24,44 - Unattended,2020-01-19T16:37:59,43.69487564,-79.45395633
2000,33,46 - Used or Placed too close to combustibles,2020-01-19T18:26:04,43.64245916,-79.39924106
5000,4,"98 - Unintentional, cause undetermined",2020-01-19T18:30:12,43.70539618,-79.3128363
2500,21,"98 - Unintentional, cause undetermined",2020-01-19T19:14:47,43.69579632,-79.5521565
1000,22,45 - Improperly Discarded,2020-01-19T20:54:44,43.70318634,-79.50199839
10000,21,99 - Undetermined,2020-01-19T22:20:51,43.70008427,-79.2867296
5000,21,99 - Undetermined,2020-01-20T07:38:03,43.72999982,-79.30645563
40000,12,99 - Undetermined,2020-01-20T10:50:29,43.78163768,-79.41600169
300,21,"98 - Unintentional, cause undetermined",2020-01-20T13:41:51,43.76224099,-79.50052088
3000,4,52 - Electrical Failure,2020-01-20T14:24:54,43.67253451,-79.46762343
50000,35,52 - Electrical Failure,2020-01-20T16:00:36,43.74591097,-79.62198068
500,23,47 - Improper handling of ignition source or ignited material,2020-01-20T16:18:57,43.73141176,-79.57743723
100,23,47 - Improper handling of ignition source or ignited material,2020-01-20T17:01:04,43.65026197,-79.39816336
0,14,99 - Undetermined,2020-01-21T13:22:05,43.79483269,-79.21958787
55,32,44 - Unattended,2020-01-21T19:44:53,43.71423244,-79.28193647
125000,35,52 - Electrical Failure,2020-01-21T22:57:42,43.65405066,-79.4004299
80000,23,990 - Under Investigation,2020-01-22T04:25:15,43.75744601,-79.41375233
10000,37,52 - Electrical Failure,2020-01-22T07:47:55,43.68372955,-79.48613772
75000,40,52 - Electrical Failure,2020-01-23T04:20:09,43.74477751,-79.48645243
50000,25,99 - Undetermined,2020-01-23T13:34:04,43.71958194,-79.23880537
10000,10,51 - Mechanical Failure,2020-01-23T15:10:10,43.7781493,-79.28147246
1,17,"60 - Other unintentional cause, not classified",2020-01-23T15:12:23,43.69405303,-79.5056155
2000,4,"98 - Unintentional, cause undetermined",2020-01-23T18:03:57,43.69949664,-79.45464393
15000,4,52 - Electrical Failure,2020-01-23T21:07:34,43.70999074,-79.50152561
20,16,47 - Improper handling of ignition source or ignited material,2020-01-24T12:37:26,43.6490236,-79.41665403
12000,42,99 - Undetermined,2020-01-24T13:24:30,43.65226015,-79.39779247
10000,59,"98 - Unintentional, cause undetermined",2020-01-24T16:30:56,43.81935634,-79.32204489
0,37,"98 - Unintentional, cause undetermined",2020-01-24T21:58:47,43.83109876,-79.25971382
8000,4,99 - Undetermined,2020-01-25T00:27:04,43.68699354,-79.48953272
20000,56,46 - Used or Placed too close to combustibles,2020-01-25T02:14:20,43.66385219,-79.40241468
150000,70,46 - Used or Placed too close to combustibles,2020-01-25T02:37:24,43.68792283,-79.49202046
60,20,73 - Natural Cause,2020-01-25T07:59:43,43.74239611,-79.53737745
1000,10,99 - Undetermined,2020-01-25T08:15:15,43.75171067,-79.3349514
50000,23,52 - Electrical Failure,2020-01-25T14:32:44,43.75329035,-79.53626347
100000,65,47 - Improper handling of ignition source or ignited material,2020-01-25T17:02:14,43.75625312,-79.56003176
60000,35,44 - Unattended,2020-01-25T17:24:20,43.80712365,-79.16915189
0,17,47 - Improper handling of ignition source or ignited material,2020-01-25T18:44:46,43.75518947,-79.48570693
60000,8,52 - Electrical Failure,2020-01-25T19:57:58,43.74477751,-79.48645243
20000,8,01 - Suspected Arson,2020-01-26T05:34:36,43.72578725,-79.55584244
0,17,01 - Suspected Arson,2020-01-26T11:35:45,43.6442043,-79.41886199
20000,24,44 - Unattended,2020-01-26T15:03:00,43.69194409,-79.35586628
40000,59,44 - Unattended,2020-01-26T21:18:16,43.80852138,-79.22456206
50,22,99 - Undetermined,2020-01-27T03:48:43,43.66981424,-79.33306872
0,21,50 - Other misuse of ignition source/material ignited,2020-01-27T09:22:10,43.66336524,-79.37226635
0,21,"60 - Other unintentional cause, not classified",2020-01-28T18:02:43,43.72782857,-79.44067259
200,24,01 - Suspected Arson,2020-01-28T18:27:37,43.67138086,-79.48839195
500,21,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2020-01-28T20:11:56,43.68454484,-79.37663836
60000,4,"98 - Unintentional, cause undetermined",2020-01-29T08:29:40,43.76067683,-79.23641092
5000,34,99 - Undetermined,2020-01-29T16:45:45,43.65817204,-79.36550104
10000,22,"60 - Other unintentional cause, not classified",2020-01-29T22:09:58,43.77466684,-79.266008
8000,54,99 - Undetermined,2020-01-30T02:35:42,43.66889391,-79.37945204
100000,83,45 - Improperly Discarded,2020-01-30T05:53:01,43.66004004,-79.3532121
50,22,45 - Improperly Discarded,2020-01-30T18:13:23,43.75485424,-79.51707489
100000,52,44 - Unattended,2020-01-30T19:08:52,43.73454435,-79.33705678
25000,33,52 - Electrical Failure,2020-01-30T20:17:06,43.7522576,-79.56468858
0,22,03 - Suspected Vandalism,2020-01-30T20:58:20,43.70747321,-79.3436255
200000,8,01 - Suspected Arson,2020-01-31T04:52:48,43.76272659,-79.30235416
500,22,52 - Electrical Failure,2020-01-31T08:52:23,43.6588147,-79.41528443
20000,10,99 - Undetermined,2020-01-31T13:42:25,43.67007265,-79.57856622
100000,69,50 - Other misuse of ignition source/material ignited,2020-01-31T18:16:29,43.81032413,-79.28709459
45000,100,44 - Unattended,2020-01-31T19:07:21,43.75715432,-79.48086038
0,33,99 - Undetermined,2020-02-01T00:44:12,43.6582947,-79.37103207
2500,53,"60 - Other unintentional cause, not classified",2020-02-01T16:10:32,43.70164216,-79.3371486
5000,57,"98 - Unintentional, cause undetermined",2020-02-01T16:44:36,43.77798049,-79.31120651
1000,28,52 - Electrical Failure,2020-02-01T17:31:26,43.67880262,-79.48290646
0,18,50 - Other misuse of ignition source/material ignited,2020-02-01T18:53:09,43.76927425,-79.41290458
5000,78,45 - Improperly Discarded,2020-02-02T14:19:53,43.6573078,-79.38441585
1000,24,03 - Suspected Vandalism,2020-02-02T22:44:06,43.66137442,-79.38240493
6000,4,52 - Electrical Failure,2020-02-03T02:17:10,43.7337468,-79.53822885
5000,25,46 - Used or Placed too close to combustibles,2020-02-03T04:14:15,43.59471639,-79.54230139
10000,22,20 - Design/Construction/Installation/Maintenance Deficiency,2020-02-03T15:42:26,43.80179648,-79.17357843
25000,71,46 - Used or Placed too close to combustibles,2020-02-03T17:21:06,43.74695893,-79.29371457
16000,4,99 - Undetermined,2020-02-03T17:39:34,43.62289022,-79.51796433
20,21,44 - Unattended,2020-02-03T17:56:11,43.67679079,-79.47306643
2000,24,46 - Used or Placed too close to combustibles,2020-02-03T19:45:03,43.69520552,-79.41542928
0,18,"60 - Other unintentional cause, not classified",2020-02-04T10:09:49,43.60449964,-79.50068662
20000,13,99 - Undetermined,2020-02-04T11:38:24,43.76150883,-79.41093798
0,21,45 - Improperly Discarded,2020-02-04T18:26:56,43.59653002,-79.52441139
0,22,99 - Undetermined,2020-02-04T20:35:04,43.79196217,-79.35807481
1000,21,45 - Improperly Discarded,2020-02-04T22:12:15,43.67437474,-79.39984311
0,25,45 - Improperly Discarded,2020-02-05T01:08:24,43.66552417,-79.49920745
0,4,99 - Undetermined,2020-02-05T05:11:41,43.71702365,-79.5372909
50000,18,99 - Undetermined,2020-02-05T06:54:22,43.77296599,-79.27298631
10000,36,52 - Electrical Failure,2020-02-05T10:38:39,43.78346503,-79.2663916
25000,24,50 - Other misuse of ignition source/material ignited,2020-02-05T20:15:54,43.65826807,-79.48812155
1000,21,01 - Suspected Arson,2020-02-05T20:59:21,43.63717638,-79.43603744
25000,21,20 - Design/Construction/Installation/Maintenance Deficiency,2020-02-05T23:36:56,43.65887834,-79.34985223
10000,16,47 - Improper handling of ignition source or ignited material,2020-02-06T07:49:37,43.63812318,-79.39886628
5000,22,99 - Undetermined,2020-02-06T14:12:45,43.60426497,-79.53373857
0,17,45 - Improperly Discarded,2020-02-06T15:14:33,43.73482952,-79.51074628
50000,53,52 - Electrical Failure,2020-02-06T20:33:23,43.61800095,-79.48970129
4000,25,44 - Unattended,2020-02-06T21:17:27,43.79955609,-79.2214879
3000,4,51 - Mechanical Failure,2020-02-07T04:11:45,43.63143136,-79.42918197
0,4,99 - Undetermined,2020-02-07T06:02:13,43.65262724,-79.36646166
100000,57,46 - Used or Placed too close to combustibles,2020-02-07T14:01:44,43.6621721,-79.37787789
5000,69,45 - Improperly Discarded,2020-02-07T18:39:01,43.65616273,-79.37012259
1500,10,51 - Mechanical Failure,2020-02-07T20:57:19,43.76634185,-79.32246071
75000,7,99 - Undetermined,2020-02-08T08:06:31,43.80681447,-79.17467345
1500,37,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2020-02-08T16:07:11,43.81876817,-79.21507639
500,21,44 - Unattended,2020-02-08T19:10:43,43.60151397,-79.50188158
50000,16,52 - Electrical Failure,2020-02-08T21:11:58,43.756338,-79.4712937
20000,20,52 - Electrical Failure,2020-02-09T07:59:41,43.77338608,-79.350153
5000,4,99 - Undetermined,2020-02-09T12:03:46,43.74984329,-79.27149128
0,20,45 - Improperly Discarded,2020-02-10T02:07:08,43.65636823,-79.3675967
1000,24,"60 - Other unintentional cause, not classified",2020-02-10T10:19:28,43.7705472,-79.38058903
60000,14,"60 - Other unintentional cause, not classified",2020-02-10T10:42:40,43.78074208,-79.23876699
0,23,48 - Used for purpose not intended,2020-02-10T13:27:56,43.75981302,-79.54955035
0,11,99 - Undetermined,2020-02-10T15:42:29,43.60043272,-79.51113866
50000,26,52 - Electrical Failure,2020-02-10T21:48:51,43.74271821,-79.24110503
4000,4,99 - Undetermined,2020-02-10T22:57:50,43.67679079,-79.47306643
100000,31,"98 - Unintentional, cause undetermined",2020-02-11T06:49:07,43.70086063,-79.46944885
5000,23,"60 - Other unintentional cause, not classified",2020-02-11T09:30:59,43.77316718,-79.48815455
1000,22,01 - Suspected Arson,2020-02-11T13:09:36,43.66860329,-79.45876936
8000,25,"60 - Other unintentional cause, not classified",2020-02-11T20:17:19,43.69927126,-79.58700078
1000,4,"98 - Unintentional, cause undetermined",2020-02-12T05:59:05,43.63771044,-79.45890249
0,21,Not Reported,2020-02-12T06:01:06,43.64788537,-79.5268928
5000,20,48 - Used for purpose not intended,2020-02-12T09:06:37,43.76575375,-79.38429442
200000,83,50 - Other misuse of ignition source/material ignited,2020-02-12T10:19:44,43.69653626,-79.33151959
6000,4,52 - Electrical Failure,2020-02-12T10:38:49,43.82514906,-79.18876057
40000,4,52 - Electrical Failure,2020-02-12T22:20:14,43.82303414,-79.23014295
0,51,45 - Improperly Discarded,2020-02-13T03:17:50,43.7022534,-79.44110905
15000,40,99 - Undetermined,2020-02-13T10:53:11,43.75230019,-79.59930243
1000,21,"60 - Other unintentional cause, not classified",2020-02-13T16:11:38,43.74106756,-79.26326478
50000,55,99 - Undetermined,2020-02-13T18:11:06,43.66889391,-79.37945204
15000,80,"60 - Other unintentional cause, not classified",2020-02-13T18:39:07,43.65616273,-79.37012259
1000,21,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2020-02-13T18:47:34,43.77530002,-79.20678626
1,19,03 - Suspected Vandalism,2020-02-13T19:33:54,43.64101279,-79.41025017
0,53,45 - Improperly Discarded,2020-02-13T19:35:28,43.69954054,-79.27580104
500000,125,52 - Electrical Failure,2020-02-13T20:17:25,43.69862213,-79.27060217
100000,108,80 - Exposure fire,2020-02-13T23:47:51,43.752415,-79.51689909
200,20,99 - Undetermined,2020-02-14T10:38:17,43.64192869,-79.37470935
80000,60,"98 - Unintentional, cause undetermined",2020-02-14T17:49:20,43.63303339,-79.49207205
100000,4,99 - Undetermined,2020-02-14T18:54:48,43.75841473,-79.31292843
1,20,03 - Suspected Vandalism,2020-02-14T20:03:47,43.64102596,-79.43451699
500,21,99 - Undetermined,2020-02-14T21:38:34,43.6593437,-79.35123198
30000,21,44 - Unattended,2020-02-14T22:09:35,43.69723698,-79.47546023
150000,49,52 - Electrical Failure,2020-02-14T23:11:24,43.70197867,-79.50833093
5000,21,52 - Electrical Failure,2020-02-15T08:50:58,43.73907851,-79.59282278
500,37,"98 - Unintentional, cause undetermined",2020-02-15T16:11:05,43.66148052,-79.42805407
500,4,990 - Under Investigation,2020-02-15T19:09:34,43.70197867,-79.50833093
1000,22,47 - Improper handling of ignition source or ignited material,2020-02-15T22:05:00,43.6959734,-79.39992355
500,4,"98 - Unintentional, cause undetermined",2020-02-15T23:12:36,43.6654253,-79.46588876
1000,23,52 - Electrical Failure,2020-02-16T09:28:59,43.67702002,-79.30389119
1000,21,44 - Unattended,2020-02-16T09:57:44,43.64783455,-79.42017897
20000,22,44 - Unattended,2020-02-16T11:25:05,43.70148298,-79.55725625
250000,40,99 - Undetermined,2020-02-16T20:24:22,43.80804775,-79.23419673
100,21,99 - Undetermined,2020-02-16T23:58:42,43.66493728,-79.38459588
10000,57,01 - Suspected Arson,2020-02-17T01:27:57,43.7022534,-79.44110905
200000,85,99 - Undetermined,2020-02-17T02:28:24,43.76308887,-79.32540643
500,21,52 - Electrical Failure,2020-02-18T00:48:26,43.66731043,-79.31256394
200,19,04 - Suspected Youth Vandalism (Ages 12 to 17),2020-02-18T11:14:14,43.72677431,-79.56184253
6000,4,99 - Undetermined,2020-02-18T11:57:06,43.70390009,-79.49880908
10000,34,52 - Electrical Failure,2020-02-18T12:58:47,43.79924226,-79.34184519
30,24,04 - Suspected Youth Vandalism (Ages 12 to 17),2020-02-18T18:30:33,43.64892685,-79.365967
25,18,47 - Improper handling of ignition source or ignited material,2020-02-18T21:29:35,43.66672551,-79.44646141
2000,17,01 - Suspected Arson,2020-02-19T00:10:12,43.72930628,-79.38689031
9999,4,"60 - Other unintentional cause, not classified",2020-02-19T00:47:09,43.78232724,-79.13230689
10000,4,990 - Under Investigation,2020-02-19T02:57:33,43.70287807,-79.50383844
1000,12,52 - Electrical Failure,2020-02-19T17:54:14,43.69353681,-79.48402017
20000,8,51 - Mechanical Failure,2020-02-19T21:30:43,43.71655884,-79.45529232
1000,4,99 - Undetermined,2020-02-19T22:02:39,43.65794851,-79.40004842
70000,4,01 - Suspected Arson,2020-02-19T22:50:11,43.75014434,-79.33626022
12000,53,"98 - Unintentional, cause undetermined",2020-02-20T09:07:49,43.65241212,-79.39066727
35000,46,52 - Electrical Failure,2020-02-20T10:01:26,43.79149423,-79.40158538
1000,20,52 - Electrical Failure,2020-02-20T19:16:36,43.6656449,-79.38772399
100,22,"98 - Unintentional, cause undetermined",2020-02-20T21:51:11,43.79158367,-79.42927478
40000,22,01 - Suspected Arson,2020-02-20T23:51:38,43.83111304,-79.23467324
1000,32,47 - Improper handling of ignition source or ignited material,2020-02-21T08:34:13,43.64885137,-79.39208799
15000,49,44 - Unattended,2020-02-22T13:32:48,43.74303833,-79.23205592
50,4,99 - Undetermined,2020-02-22T15:32:31,43.65281761,-79.37160517
1200,21,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2020-02-22T21:08:01,43.73061764,-79.41516253
100000,39,01 - Suspected Arson,2020-02-23T01:27:19,43.75485424,-79.51707489
0,32,99 - Undetermined,2020-02-23T05:58:06,43.65462237,-79.3537462
25000,8,52 - Electrical Failure,2020-02-23T11:26:09,43.7461797,-79.290918
2000,43,51 - Mechanical Failure,2020-02-23T12:41:18,43.60313563,-79.49829028
12000,4,99 - Undetermined,2020-02-23T12:57:56,43.77333271,-79.43455852
25000,36,51 - Mechanical Failure,2020-02-23T13:39:09,43.79628543,-79.17716976
1000,36,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2020-02-23T18:11:44,43.81347381,-79.27173939
1000,4,99 - Undetermined,2020-02-23T21:30:07,43.79082246,-79.44410126
50000,35,51 - Mechanical Failure,2020-02-23T21:51:17,43.81796368,-79.21676401
50000,45,"98 - Unintentional, cause undetermined",2020-02-23T21:59:23,43.76461926,-79.18610803
20000,11,12 - Vehicle Accident/Collision,2020-02-24T05:10:36,43.7973022,-79.14433905
500,8,50 - Other misuse of ignition source/material ignited,2020-02-24T12:25:27,43.63294756,-79.43655578
500,21,"60 - Other unintentional cause, not classified",2020-02-24T13:06:37,43.67627761,-79.28909235
10000,57,45 - Improperly Discarded,2020-02-24T23:32:53,43.6639923,-79.36930727
50,21,01 - Suspected Arson,2020-02-25T00:02:59,43.71083535,-79.48526442
2000,4,52 - Electrical Failure,2020-02-25T03:47:30,43.66233433,-79.36719141
5000,21,01 - Suspected Arson,2020-02-25T23:05:20,43.72581778,-79.26254195
30000,38,52 - Electrical Failure,2020-02-26T09:43:00,43.69412697,-79.45315445
1,26,03 - Suspected Vandalism,2020-02-27T01:54:10,43.6545253,-79.36945966
5000,4,51 - Mechanical Failure,2020-02-27T06:45:31,43.69378807,-79.39709831
1000,22,45 - Improperly Discarded,2020-02-27T09:05:41,43.68093545,-79.34694708
15000,4,99 - Undetermined,2020-02-28T01:01:21,43.74160883,-79.23261027
0,26,50 - Other misuse of ignition source/material ignited,2020-02-28T17:12:13,43.65722765,-79.4668502
10000,24,52 - Electrical Failure,2020-02-28T17:41:16,43.74750686,-79.19924188
5000,54,99 - Undetermined,2020-02-28T18:37:06,43.77035765,-79.37126753
0,19,20 - Design/Construction/Installation/Maintenance Deficiency,2020-02-28T20:59:13,43.74156714,-79.261063
50,21,47 - Improper handling of ignition source or ignited material,2020-02-29T08:53:11,43.69142699,-79.46943509
1500,22,45 - Improperly Discarded,2020-02-29T14:28:44,43.81841854,-79.23985135
1000,30,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2020-02-29T15:16:41,43.7809287,-79.23789264
500,22,44 - Unattended,2020-02-29T17:38:18,43.70286531,-79.2994755
10000,4,52 - Electrical Failure,2020-02-29T21:35:18,43.72302479,-79.33961316
100000,52,99 - Undetermined,2020-02-29T21:48:43,43.76384336,-79.37383621
9999,8,52 - Electrical Failure,2020-02-29T21:49:30,43.67721257,-79.46112093
0,22,01 - Suspected Arson,2020-02-29T22:32:45,43.70518107,-79.27722582
400,16,"60 - Other unintentional cause, not classified",2020-02-29T22:36:09,43.64839337,-79.39327799
20000,22,01 - Suspected Arson,2020-02-29T23:10:15,43.7942618,-79.20114448
2000,21,"98 - Unintentional, cause undetermined",2020-03-01T00:15:58,43.73458486,-79.44727707
60000,52,11 - Children Playing (Ages 11 and under),2020-03-01T10:15:12,43.70286531,-79.2994755
5000,4,52 - Electrical Failure,2020-03-01T13:50:20,43.63949067,-79.44222192
0,31,"98 - Unintentional, cause undetermined",2020-03-01T14:21:16,43.643007,-79.37782375
15000,21,44 - Unattended,2020-03-01T19:16:26,43.73255104,-79.3058923
0,23,"60 - Other unintentional cause, not classified",2020-03-01T19:50:23,43.76575375,-79.38429442
50000,16,"60 - Other unintentional cause, not classified",2020-03-01T23:36:50,43.65851072,-79.38489385
75000,22,01 - Suspected Arson,2020-03-02T02:50:08,43.78900062,-79.14384177
500,21,51 - Mechanical Failure,2020-03-02T09:07:40,43.65990169,-79.49149497
50000,21,01 - Suspected Arson,2020-03-03T05:56:19,43.76272659,-79.30235416
1000,68,990 - Under Investigation,2020-03-03T21:33:43,43.74346084,-79.19755639
1000,21,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2020-03-04T10:06:05,43.6942229,-79.45066802
1000,22,44 - Unattended,2020-03-04T18:17:09,43.70132433,-79.54867621
50000,22,52 - Electrical Failure,2020-03-04T19:55:03,43.75368103,-79.60907117
5000,21,44 - Unattended,2020-03-04T20:50:59,43.69042082,-79.43674997
50,18,44 - Unattended,2020-03-04T21:18:36,43.77367501,-79.45285715
40000,36,51 - Mechanical Failure,2020-03-04T22:12:45,43.76985383,-79.28601077
5000,4,99 - Undetermined,2020-03-05T03:02:40,43.73277077,-79.26455433
20,18,46 - Used or Placed too close to combustibles,2020-03-05T10:38:33,43.72960442,-79.47146691
25000,69,20 - Design/Construction/Installation/Maintenance Deficiency,2020-03-05T13:28:08,43.78732812,-79.13120013
10,22,46 - Used or Placed too close to combustibles,2020-03-05T15:58:26,43.71983362,-79.39991013
0,21,01 - Suspected Arson,2020-03-05T16:32:52,43.70454549,-79.52832035
