BREAK_DATE,BREAK_YEAR,LON,LAT
1993/01/23,1993,-79.4447224301,43.7412646923
1991/02/23,1991,-79.4445156861,43.7412953791
1998/01/17,1998,-79.4392708086,43.741301029
1990/01/02,1990,-79.4483541202,43.7413107819
2013/12/28,2013,-79.4441142589,43.741319656
1995/11/19,1995,-79.4995655598,43.7413231385
1994/01/02,1994,-79.4439847103,43.741338022
1991/12/20,1991,-79.4360652408,43.7413476911
2008/04/25,2008,-79.4393184635,43.741348229
1990/11/29,1990,-79.4867881087,43.7413623526
1991/11/20,1991,-79.4359848687,43.741364892
1995/01/13,1995,-79.435970066,43.7413680537
1996/01/14,1996,-79.5053050983,43.7413806751
2010/10/23,2010,-79.5236063621,43.7414045337
1992/01/27,1992,-79.4467108336,43.7414126979
1990/11/22,1990,-79.4436764807,43.7414617023
1994/11/11,1994,-79.4354674008,43.7414756115
2008/03/15,2008,-79.4311564489,43.7414800561
1991/12/30,1991,-79.4311564371,43.741490786
1991/11/25,1991,-79.5096303638,43.7415035204
2009/03/04,2009,-79.4394726493,43.74151061
1993/01/16,1993,-79.4868263007,43.7415115811
1990/02/05,1990,-79.5071535413,43.7415228384
1993/02/14,1993,-79.432246174,43.7415420682
1999/01/15,1999,-79.4322313465,43.7415453353
2016/11/28,2016,-79.5070318475,43.7415503241
2007/11/13,2007,-79.5224806058,43.741555118
2000/01/21,2000,-79.4321022212,43.741573832
1991/02/27,1991,-79.4311564221,43.7415940255
1990/09/27,1990,-79.5211397453,43.7415992131
1993/12/21,1993,-79.4408808233,43.7416134807
2009/03/02,2009,-79.4408814741,43.7416145218
1999/05/08,1999,-79.4317927945,43.7416421056
1992/02/12,1992,-79.5322156017,43.7416447135
1991/06/20,1991,-79.5220186309,43.7416587065
1993/01/13,1993,-79.4316684367,43.7416695562
1998/02/13,1998,-79.4311564007,43.74171426
2011/02/08,2011,-79.4409367328,43.7417168796
1990/12/28,1990,-79.4882747421,43.7417181792
1994/03/05,1994,-79.520282723,43.7417203946
2016/11/12,2016,-79.4382000724,43.7417403174
2011/08/31,2011,-79.5201446067,43.7417495968
2002/02/01,2002,-79.5111403157,43.7417527216
1992/02/21,1992,-79.4409537049,43.741756953
2002/02/21,2002,-79.4871260707,43.7417736253
2011/01/27,2011,-79.5085546976,43.7418229599
2004/04/12,2004,-79.4883249594,43.7418311062
2005/01/25,2005,-79.4883349259,43.7418535205
2003/06/02,2003,-79.5031087612,43.7418682472
2011/01/21,2011,-79.5030568016,43.7418798175
2007/12/16,2007,-79.5051007999,43.7418827092
2004/05/11,2004,-79.4279932289,43.7418869133
1993/11/07,1993,-79.521281981,43.7419041152
1994/01/13,1994,-79.4410036655,43.7419048789
2002/02/07,2002,-79.4410054219,43.7419120358
2005/02/09,2005,-79.4295505503,43.7419363453
2003/05/02,2003,-79.4311663596,43.7419406394
1994/10/01,1994,-79.5027642164,43.7419456128
1990/11/22,1990,-79.5192054254,43.7419605621
2014/02/11,2014,-79.4410180141,43.741971407
1994/02/06,1994,-79.4433977283,43.7419848495
2013/08/30,2013,-79.5063191581,43.7419895784
1996/01/26,1996,-79.4385363477,43.7420052112
2005/11/05,2005,-79.5213108413,43.7420200285
2013/02/19,2013,-79.4342841718,43.7420275873
1997/01/24,1997,-79.4311765967,43.7420430887
1996/01/02,1996,-79.4338707873,43.7421205307
2002/12/21,2002,-79.5198900914,43.742131242
2008/01/03,2008,-79.4496916318,43.7421728435
2001/02/24,2001,-79.4457405454,43.7421834151
2006/02/17,2006,-79.4398372189,43.7421885416
2007/11/25,2007,-79.5182063664,43.7421935228
1997/01/12,1997,-79.5082353072,43.7422028836
2014/01/10,2014,-79.4434628206,43.7422038208
2012/01/05,2012,-79.5052494095,43.7422358921
1994/07/12,1994,-79.51801138,43.7422395997
1995/12/17,1995,-79.4333083291,43.7422467036
2003/01/23,2003,-79.4332934887,43.7422500336
1996/02/24,1996,-79.5080127765,43.7422514373
2015/02/26,2015,-79.5233457989,43.742261465
1994/02/28,1994,-79.4369703535,43.7422615121
1994/03/17,1994,-79.4422099288,43.7422904941
1992/01/23,1992,-79.4451980313,43.7422992812
1998/12/16,1998,-79.439855645,43.7423194208
1998/01/24,1998,-79.4387141028,43.7423541193
1995/10/18,1995,-79.5229435456,43.7423552943
1991/01/15,1991,-79.4448194929,43.7423801256
2012/01/10,2012,-79.5173151637,43.7424026153
2007/02/01,2007,-79.4325998675,43.7424056429
2015/02/18,2015,-79.4486744409,43.742419418
1994/01/10,1994,-79.4446248275,43.7424217015
1994/02/01,1994,-79.5078208646,43.7424313033
2010/12/15,2010,-79.5201719757,43.7424315444
2016/02/04,2016,-79.5171227652,43.7424452533
1992/02/21,1992,-79.4421984863,43.7424500455
2008/02/06,2008,-79.4443471716,43.7424809887
1999/03/01,1999,-79.4370929266,43.7424833203
2016/01/12,2016,-79.4322183248,43.7424899749
1995/03/11,1995,-79.4321839512,43.7424975481
2011/09/23,2011,-79.4479252708,43.7425059841
2005/02/06,2005,-79.4321233847,43.7425108968
2014/02/18,2014,-79.447864768,43.7425190822
1991/01/15,1991,-79.4273251745,43.7425331256
2004/03/06,2004,-79.4319606607,43.7425467513
1992/03/02,1992,-79.5169897001,43.7425763694
1998/01/25,1998,-79.4398661459,43.7425869903
2013/11/10,2013,-79.5027218243,43.742597584
1991/01/03,1991,-79.5214473514,43.7426112709
1995/01/13,1995,-79.5214490178,43.7426185886
2011/04/18,2011,-79.4386569875,43.742630752
2012/02/08,2012,-79.4494551569,43.7426322021
1994/08/09,1994,-79.5170057225,43.7426408154
1990/05/24,1990,-79.4295292443,43.7426428953
1997/11/19,1997,-79.449460191,43.7426446699
1998/02/02,1998,-79.447738272,43.742648555
1992/12/17,1992,-79.5063149339,43.7426499371
1996/01/04,1996,-79.4371491791,43.7426626831
1997/02/19,1997,-79.4294534731,43.742683033
2007/01/16,2007,-79.4349661724,43.7427132686
1999/12/02,1999,-79.5199275342,43.7427164185
2008/12/19,2008,-79.4494963993,43.7427343565
2009/03/15,2009,-79.4859896812,43.7427372523
2016/11/20,2016,-79.5198149113,43.7427429964
1997/01/08,1997,-79.4398564746,43.7427450669
1997/02/11,1997,-79.4292903141,43.7427694851
1993/04/14,1993,-79.5170395821,43.7427770789
1994/03/25,1994,-79.4346286318,43.7427883059
1990/12/05,1990,-79.515574249,43.7427997172
2007/12/14,2007,-79.515574249,43.7427997172
2008/12/19,2008,-79.5056345462,43.7428038106
1996/01/13,1996,-79.4386005936,43.7428086297
1995/01/03,1995,-79.4865379182,43.7428154316
1997/01/12,1997,-79.4864720632,43.7428303391
1993/02/28,1993,-79.4291341736,43.7428524211
2015/03/14,2015,-79.4385729211,43.7428959381
1993/03/22,1993,-79.4274932044,43.7429142102
1997/01/22,1997,-79.5170743369,43.7429169339
1997/02/01,1997,-79.4340451235,43.7429179601
2002/11/12,2002,-79.5025370419,43.742923833
1991/03/02,1991,-79.5027703524,43.7429317842
1993/10/08,1993,-79.5149322892,43.7429450762
1992/10/26,1992,-79.5149308367,43.7429454005
2000/01/29,2000,-79.4285933865,43.7429896923
2013/10/03,2013,-79.5215362683,43.7429932506
1991/05/29,1991,-79.5186346383,43.7430031438
1998/11/10,1998,-79.5215388922,43.7430042047
1994/01/04,1994,-79.4418614312,43.7430098676
1990/03/09,1990,-79.433626784,43.7430109029
1994/01/06,1994,-79.4372456093,43.7430308449
2004/11/16,2004,-79.4943797279,43.7430343442
2003/08/12,2003,-79.5093289892,43.7430367885
1990/02/25,1990,-79.5055935059,43.7430450968
1998/08/31,1998,-79.4508388851,43.7430504824
2006/10/23,2006,-79.5237529077,43.7430885348
2010/01/12,2010,-79.5260164007,43.7431114609
1992/06/19,1992,-79.5180308774,43.7431210521
2001/10/15,2001,-79.507942125,43.7431424982
1993/02/10,1993,-79.4472267583,43.7431504008
2003/02/04,2003,-79.432879538,43.7431769519
2006/10/19,2006,-79.4514498792,43.7431796845
2012/11/19,2012,-79.5231916141,43.7432148764
1991/12/12,1991,-79.4408744207,43.7432236224
2002/09/21,2002,-79.5260438044,43.7432274707
2002/06/12,2002,-79.432579516,43.7432440949
1999/11/09,1999,-79.4407533059,43.743249017
2014/01/05,2014,-79.5240481985,43.7432515417
2003/06/01,2003,-79.4407237256,43.743255303
1996/02/09,1996,-79.4288903311,43.7432778372
2010/01/08,2010,-79.4308951623,43.7433077365
1991/01/07,1991,-79.4446650916,43.7433248012
2014/03/04,2014,-79.5216160423,43.7433268366
1991/01/08,1991,-79.430939813,43.7433349248
1990/11/22,1990,-79.522648541,43.7433369154
1995/01/10,1995,-79.5057322412,43.7433677777
2009/12/24,2009,-79.4401719525,43.7433724648
2004/12/24,2004,-79.4373242178,43.7433942951
1990/03/16,1990,-79.4441468385,43.7434374249
1996/01/10,1996,-79.4398106046,43.743449256
1990/12/29,1990,-79.520657382,43.7434562674
1996/03/04,1996,-79.4259181144,43.7434582463
2007/01/23,2007,-79.4929112266,43.7434601829
2011/06/01,2011,-79.5261086133,43.743503179
1994/02/20,1994,-79.5218824147,43.7435072372
2006/02/15,2006,-79.439468537,43.7435229796
1994/01/29,1994,-79.5095382379,43.7435269985
1992/03/18,1992,-79.4289871201,43.7435656829
1997/01/20,1997,-79.4263307297,43.7435713508
2003/12/08,2003,-79.5121917485,43.7435722376
2000/11/21,2000,-79.4317430294,43.7435807928
1992/02/07,1992,-79.4251814384,43.7435898951
1996/02/16,1996,-79.4451309564,43.7436398938
2005/12/31,2005,-79.4432115188,43.7436446683
1999/01/19,1999,-79.4438018972,43.7436509172
1992/02/09,1992,-79.4276901796,43.7436520331
2010/06/14,2010,-79.4290106327,43.7436545139
2002/12/11,2002,-79.4438041018,43.7436572281
1998/02/09,1998,-79.5216929626,43.7436633125
2006/01/03,2006,-79.4302781689,43.7436663706
2014/01/16,2014,-79.4247958867,43.7436670063
2015/02/24,2015,-79.4862153444,43.743669553
1990/10/18,1990,-79.5162959197,43.743672189
2014/01/13,2014,-79.4248035475,43.7436867314
1993/10/03,1993,-79.443015456,43.7436872313
2014/04/16,2014,-79.5216996249,43.7436907933
1995/08/24,1995,-79.4244533841,43.7437131516
1990/03/09,1990,-79.424424088,43.7437186051
1991/08/13,1991,-79.4244094463,43.7437213228
1995/04/20,1995,-79.4428408271,43.7437251415
2002/02/20,2002,-79.4385120234,43.7437266791
1996/01/27,1996,-79.4383887812,43.7437524601
1993/01/06,1993,-79.5198530911,43.7437545178
1998/12/26,1998,-79.4308533134,43.7437655574
1993/03/16,1993,-79.4412733314,43.7437669268
2014/04/01,2014,-79.4382143726,43.7437889413
2004/12/20,2004,-79.4290422691,43.7438119406
1998/10/27,1998,-79.4248688639,43.7438185551
1996/12/29,1996,-79.5134321683,43.7438256831
2014/03/08,2014,-79.4305488253,43.7438285816
1992/11/20,1992,-79.4423881151,43.7438308745
2000/09/27,2000,-79.4438557824,43.7438796837
1993/02/26,1993,-79.5109676464,43.7438967361
1992/01/22,1992,-79.4376279925,43.7439103348
1995/12/03,1995,-79.5027309919,43.7439222432
1993/07/21,1993,-79.5163627566,43.7439410683
1994/03/27,1994,-79.4277426746,43.7439411272
1995/02/06,1995,-79.5046471316,43.7439450602
1999/12/17,1999,-79.4418740211,43.743946252
1990/10/27,1990,-79.5107424669,43.7439468426
1993/08/08,1993,-79.5163644597,43.7439483409
1992/11/24,1992,-79.4416987447,43.7439852398
1998/08/03,1998,-79.5046440805,43.7439909016
1995/09/04,1995,-79.4426389757,43.7439910849
1999/03/11,1999,-79.4371140045,43.7440212188
2004/06/17,2004,-79.4369927103,43.7440468645
1990/09/08,1990,-79.5181230273,43.7440718071
1993/04/14,1993,-79.5181230273,43.7440718071
2005/07/30,2005,-79.521793518,43.7440828519
1998/08/27,1998,-79.436732363,43.7441019085
2003/11/03,2003,-79.4470812024,43.7441467806
1997/01/29,1997,-79.5230408692,43.7441540673
2003/06/01,2003,-79.4408271437,43.7441780658
2001/01/07,2001,-79.4942510506,43.7442055772
1999/02/26,1999,-79.4362251523,43.744211271
2015/02/09,2015,-79.4863500643,43.7442160178
1990/07/28,1990,-79.5206299443,43.744223825
1993/12/30,1993,-79.5206316231,43.7442311157
2002/01/25,2002,-79.442734735,43.744233572
1998/07/06,1998,-79.4941172563,43.7442366639
2014/01/09,2014,-79.436045686,43.7442512681
2001/04/18,2001,-79.4462646049,43.7442879824
1991/10/03,1991,-79.4944803394,43.7442982068
2002/06/03,2002,-79.4265801941,43.7442999298
2010/01/05,2010,-79.4401902649,43.7443139095
1990/10/01,1990,-79.5046222512,43.7443222499
2007/02/28,2007,-79.4356893645,43.7443244446
1998/11/18,1998,-79.5221626692,43.7443533021
2003/08/27,2003,-79.4489135827,43.7443541616
1991/07/16,1991,-79.5026986238,43.7444036538
1997/02/01,1997,-79.4396314667,43.7444037523
2001/06/18,2001,-79.516437284,43.7444399239
1996/11/16,1996,-79.4927638229,43.7445327912
1995/01/09,1995,-79.4330389393,43.7445352142
1994/10/04,1994,-79.4948476468,43.7445465777
2002/12/14,2002,-79.4455072971,43.7445477074
1996/11/08,1996,-79.492631764,43.7445611912
2005/02/07,2005,-79.4416070623,43.744563006
1999/12/31,1999,-79.4925432612,43.7445802235
1997/09/07,1997,-79.4925136733,43.7445865855
1997/03/15,1997,-79.4290657859,43.7445885811
2004/02/18,2004,-79.4350692955,43.7446381736
1993/11/07,1993,-79.438231147,43.7446461965
1994/08/10,1994,-79.519003835,43.7446504856
2000/11/26,2000,-79.4922203642,43.7446509616
1996/01/14,1996,-79.5033669154,43.7446660377
2012/09/25,2012,-79.5143613167,43.7446667029
2015/02/23,2015,-79.5043477602,43.7447009809
1991/04/24,1991,-79.4416661129,43.7447094772
2015/03/23,2015,-79.4402848446,43.7447541261
1991/05/27,1991,-79.4445367814,43.7447593959
1999/03/04,1999,-79.4253726275,43.7448168709
2014/04/04,2014,-79.4914264533,43.7448307773
2013/12/07,2013,-79.4913888807,43.7448391556
2015/08/09,2015,-79.4443873983,43.7448499221
1994/07/05,1994,-79.5181096698,43.7448666233
2011/11/07,2011,-79.444398171,43.7448750823
2008/11/25,2008,-79.4444117145,43.7449067147
1995/02/14,1995,-79.4241628927,43.7449327984
2004/10/01,2004,-79.4254314039,43.7449333337
2004/08/24,2004,-79.4434252176,43.7449411175
1992/10/20,1992,-79.5257229566,43.7449775758
2016/11/18,2016,-79.4368198626,43.7449907109
1994/10/29,1994,-79.4417894396,43.7450047894
2007/02/09,2007,-79.4444531069,43.745004974
1994/08/25,1994,-79.5255663724,43.7450136086
1999/11/16,1999,-79.4459020767,43.7450336783
1990/10/05,1990,-79.5254016938,43.7450515155
2012/02/24,2012,-79.4403530452,43.7450595642
2000/11/24,2000,-79.4290117403,43.7450784235
1991/12/13,1991,-79.4402471793,43.7450827014
2003/09/10,2003,-79.4333794751,43.7451219325
2001/01/29,2001,-79.4287841595,43.7451281746
1991/05/02,1991,-79.5196658764,43.7451663681
1990/12/31,1990,-79.4361938307,43.7451818322
1994/02/16,1994,-79.5205014703,43.7452022762
1991/03/28,1991,-79.4396964155,43.7452030924
2013/01/04,2013,-79.513321925,43.7452181286
2010/02/16,2010,-79.4395920239,43.74522591
2005/01/26,2005,-79.4324005571,43.7452281657
2000/12/16,2000,-79.5132275859,43.74523843
1996/08/22,1996,-79.5132127991,43.7452416095
2003/02/17,2003,-79.5259983475,43.7452627201
1991/03/07,1991,-79.4256034604,43.745274293
2007/11/19,2007,-79.4460152373,43.7453118688
2000/12/17,2000,-79.4278873224,43.7453233126
1992/12/05,1992,-79.486620322,43.7453343561
2004/02/15,2004,-79.4277540383,43.7453527884
1995/01/13,1995,-79.4317522237,43.7453716488
2011/12/21,2011,-79.4356589904,43.7454285046
2009/08/01,2009,-79.4335328374,43.7454649055
2005/03/07,2005,-79.4352858438,43.7455093526
2011/04/13,2011,-79.4269700162,43.7455262731
2006/10/22,2006,-79.512762047,43.7455862952
2005/12/19,2005,-79.4447014365,43.7456108934
1991/11/10,1991,-79.4447038151,43.7456167003
2004/02/05,2004,-79.5127131351,43.745621721
1995/01/14,1995,-79.4309960337,43.7456739896
1995/01/15,1995,-79.4309984487,43.7456796528
2013/03/07,2013,-79.4447316232,43.7456845535
2001/01/29,2001,-79.4341424646,43.7457549226
1992/02/19,1992,-79.5213132817,43.7458640416
2001/11/07,2001,-79.4487207691,43.7458669267
2002/09/16,2002,-79.4486911382,43.7458733588
2006/01/16,2006,-79.4485661572,43.7459005061
1994/02/27,1994,-79.4360304431,43.7459068925
1996/03/09,1996,-79.4337556664,43.7459606008
2016/05/19,2016,-79.5172694185,43.7459696548
2000/10/01,2000,-79.4482048627,43.7459789909
2006/05/13,2006,-79.5172163126,43.7459820147
2002/02/10,2002,-79.4481900473,43.7459822068
2012/01/26,2012,-79.4481833661,43.7459836463
1997/12/14,1997,-79.4405992355,43.7460240128
2013/01/23,2013,-79.4433746096,43.7460332028
1994/12/27,1994,-79.4867956752,43.746065787
2002/10/05,2002,-79.5168523605,43.7460667071
1995/11/29,1995,-79.4867999188,43.7460832408
1998/01/18,1998,-79.4476746764,43.7460916749
1994/01/31,1994,-79.4325858123,43.7461012314
1999/02/08,1999,-79.4868055396,43.7461063564
1992/01/27,1992,-79.4474885959,43.7461311968
2000/11/23,2000,-79.4473242849,43.7461660925
2010/01/20,2010,-79.447196616,43.7461937879
1998/02/16,1998,-79.4468819399,43.7462648339
2001/02/27,2001,-79.4468671617,43.7462679506
1993/04/21,1993,-79.5159867483,43.7462747333
1997/02/16,1997,-79.4339131811,43.746305754
1997/01/24,1997,-79.4354989291,43.7463515077
2009/12/29,2009,-79.4423522916,43.7463573397
1990/01/09,1990,-79.5155805252,43.7463714003
2009/11/12,2009,-79.4463281961,43.7463813627
2005/01/31,2005,-79.4361462989,43.7463834049
1993/01/16,1993,-79.4404354239,43.7464243873
2015/03/02,2015,-79.4470976676,43.7464280559
1992/12/23,1992,-79.4404306083,43.7464351683
2014/01/05,2014,-79.5212315401,43.7464406687
2000/02/08,2000,-79.4459972896,43.7464507534
1993/01/13,1993,-79.4404232667,43.7464516009
2014/02/19,2014,-79.5210392103,43.7464839087
1990/02/19,1990,-79.4424171721,43.7465140542
2002/02/17,2002,-79.4424386782,43.746565984
2016/11/21,2016,-79.4454375124,43.7465712797
2000/03/13,2000,-79.4320515126,43.7465799049
2000/05/22,2000,-79.4320573093,43.7465817624
1995/01/14,1995,-79.4323354117,43.7466504627
2005/01/29,2005,-79.4323437541,43.7466521326
1994/12/23,1994,-79.4407852483,43.746664322
2009/01/08,2009,-79.4407906763,43.7466655174
2014/01/29,2014,-79.4472131037,43.746712923
1996/01/12,1996,-79.4446611969,43.7467434578
2014/02/27,2014,-79.4457887273,43.7467490599
2003/01/03,2003,-79.4472277708,43.7467491172
2000/06/23,2000,-79.5263538722,43.7467646191
1992/03/02,1992,-79.4329154666,43.7467670566
2014/03/26,2014,-79.4341353688,43.7467878286
1990/02/10,1990,-79.5263676569,43.7468218025
1992/12/24,1992,-79.4399726302,43.7468271741
1993/10/31,1993,-79.4442094681,43.7468424575
1996/12/09,1996,-79.4333073353,43.7468452419
1999/01/11,1999,-79.4334624894,43.7468759572
2001/03/13,2001,-79.4397323427,43.7468783037
2014/04/02,2014,-79.4395939687,43.7469077936
1992/02/12,1992,-79.4438653082,43.7469201295
1994/11/21,1994,-79.4337005217,43.7469230723
2003/02/26,2003,-79.4338448755,43.746951648
1996/02/17,1996,-79.4393706064,43.7469553925
2008/01/31,2008,-79.4393466123,43.7469605108
2006/11/10,2006,-79.4422182074,43.7469922213
2009/01/28,2009,-79.4342881758,43.7470400549
1997/02/01,1997,-79.443599344,43.7470957532
2011/02/09,2011,-79.5249300862,43.7471408294
2013/01/11,2013,-79.4352552205,43.7471490478
1993/01/16,1993,-79.4384582071,43.7471498372
1991/12/23,1991,-79.4355344445,43.74715235
2011/02/24,2011,-79.4384434156,43.7471529888
2013/05/21,2013,-79.444518697,43.7471659707
1996/02/23,1996,-79.4459665894,43.7471861165
1996/03/08,1996,-79.4382852797,43.7471866866
1991/04/26,1991,-79.4418688297,43.7472431671
2001/02/26,2001,-79.4474449402,43.7472849726
2004/06/04,2004,-79.4435112967,43.7472986089
2003/02/17,2003,-79.4376992269,43.7473051449
1992/01/30,1992,-79.4374909155,43.747313125
2000/02/02,2000,-79.5264682813,43.7473984853
2014/02/07,2014,-79.4409572244,43.7474404319
2010/02/27,2010,-79.446073109,43.7474478609
2014/02/03,2014,-79.489028613,43.7474572618
1996/02/19,1996,-79.4446418434,43.7474678438
2001/09/11,2001,-79.4405378696,43.7475318567
1996/03/18,1996,-79.4890635752,43.7475966124
1995/12/09,1995,-79.4433741168,43.747613111
1995/09/10,1995,-79.5151022997,43.7476303707
1995/09/13,1995,-79.5151058793,43.7476446189
1991/08/29,1991,-79.5151076815,43.7476517385
1993/05/20,1993,-79.5151094713,43.7476588581
2002/02/03,2002,-79.4461739533,43.7476955878
2007/05/28,2007,-79.4397704405,43.747699771
2000/11/18,2000,-79.4397452291,43.7477052128
2004/01/23,2004,-79.4397304251,43.7477084097
1995/01/15,1995,-79.4906877369,43.7477190191
2002/11/25,2002,-79.4395267833,43.7477523929
1998/10/05,1998,-79.4891070145,43.747768215
2010/04/16,2010,-79.4914534214,43.7477980131
2000/06/01,2000,-79.4392798843,43.7478057148
1990/02/16,1990,-79.4392502763,43.7478121084
2002/02/17,2002,-79.4903172022,43.7478224577
1996/01/12,1996,-79.4462310382,43.7478336763
1994/01/31,1994,-79.4389466819,43.7478776779
1998/12/21,1998,-79.4891385158,43.7478779963
2008/02/17,2008,-79.4928605035,43.7479197503
2015/02/25,2015,-79.4891634286,43.7479466776
2014/12/29,2014,-79.4477187929,43.7479466879
1992/11/11,1992,-79.4383371425,43.7480086233
2008/02/22,2008,-79.4383161533,43.7480131309
2003/01/22,2003,-79.4383013243,43.7480163095
2003/01/28,2003,-79.4365400704,43.7480312474
2005/02/27,2005,-79.4916960791,43.7480349433
2015/02/07,2015,-79.4421265209,43.7480538118
1994/02/26,1994,-79.4379359877,43.7480947418
2001/12/28,2001,-79.4417923986,43.7481268747
1991/12/03,1991,-79.4904494957,43.7481336381
2014/03/06,2014,-79.4434608038,43.7481432778
2014/05/09,2014,-79.530898203,43.7481555344
2013/07/02,2013,-79.489250673,43.7481587986
2002/11/30,2002,-79.4416121198,43.7481662926
1998/12/24,1998,-79.4414326852,43.7482055305
2005/07/21,2005,-79.5201057071,43.7482058565
2005/11/13,2005,-79.4582638349,43.7482063696
1992/03/03,1992,-79.507700301,43.7482821748
1999/02/14,1999,-79.4918306392,43.7483555548
2010/12/13,2010,-79.4435591174,43.7483872031
1990/02/03,1990,-79.4565570917,43.748395648
1998/12/14,1998,-79.5191585453,43.7484147744
1991/12/27,1991,-79.4404252845,43.7484237369
1994/01/11,1994,-79.4402401107,43.7484630594
1997/11/15,1997,-79.4583782685,43.7484862148
2009/12/13,2009,-79.4546801047,43.7484998054
2000/11/16,2000,-79.4583850372,43.7485027615
1990/12/23,1990,-79.4583884091,43.7485110349
